repeat,seed,model_name,cv_best_score,best_params,train_subjects,val_subjects,test_subjects,val_accuracy,val_f1,val_recall,val_precision,val_specificity,val_auc,test_accuracy,test_f1,test_recall,test_precision,test_specificity,test_auc,test_tn,test_fp,test_fn,test_tp
1,42,xgboost,0.7371428571428572,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.03, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'clf__subsample': 1.0, 'selector__k': 120}","['v286', 'v113', 'v59p', 'v114', 'v37p', 'v284', 'v127', 'v1p', 'v306', 'v15p', 'v303', 'v117', 'v129', 'v34p', 'v206', 'v250', 'v107', 'v204', 'v33p', 'v43p', 'v149', 'v310', 'v121', 'v46p', 'v42p', 'v134', 'v40p', 'v41p', 'v58p', 'v31p', 'v6p', 'v36p', 'v28p', 'v116', 'v288', 'v22p', 'v108', 'v60p', 'v32p', 'v215', 'v30p', 'v3p', 'v123', 'v55p', 'v219', 'v198', 'v24p', 'v236', 'v118', 'v109', 'v265', 'v190', 'v302', 'v300', 'v39p', 'v54p', 'v299', 'v151', 'v21p', 'v244', 'v209', 'v25p', 'v140', 'v231', 'v47p', 'v196', 'v308', 'v234', 'v304', 'v10p', 'v147', 'v44p']","['v179', 'v309', 'v263', 'v307', 'v115', 'v35p', 'v305', 'v14p', 'v183', 'v298', 'v27p', 'v53p', 'v254', 'v12p', 'v279', 'v45p', 'v181', 'v48p', 'v131', 'v125', 'v200', 'v238', 'v50p', 'v51p']","['v56p', 'v173', 'v274', 'v52p', 'v38p', 'v8p', 'v110', 'v29p', 'v112', 'v120', 'v213', 'v270', 'v227', 'v19p', 'v138', 'v297', 'v20p', 'v177', 'v143', 'v57p', 'v49p', 'v133', 'v246', 'v111', 'v18p']",0.5416666666666666,0.5217391304347826,0.5,0.5454545454545454,0.5833333333333334,0.5138888888888888,0.72,0.6956521739130435,0.6153846153846154,0.8,0.8333333333333334,0.858974358974359,10,2,5,8
2,43,svm_rbf,0.6533333333333333,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'selector__k': 40}","['v53p', 'v138', 'v270', 'v10p', 'v31p', 'v42p', 'v12p', 'v1p', 'v244', 'v111', 'v299', 'v32p', 'v200', 'v58p', 'v204', 'v304', 'v131', 'v300', 'v250', 'v36p', 'v25p', 'v274', 'v307', 'v134', 'v302', 'v34p', 'v108', 'v54p', 'v265', 'v198', 'v116', 'v123', 'v40p', 'v297', 'v41p', 'v27p', 'v238', 'v149', 'v121', 'v52p', 'v50p', 'v35p', 'v125', 'v15p', 'v19p', 'v33p', 'v231', 'v6p', 'v206', 'v308', 'v288', 'v55p', 'v21p', 'v28p', 'v127', 'v110', 'v46p', 'v227', 'v39p', 'v29p', 'v57p', 'v236', 'v306', 'v309', 'v173', 'v151', 'v113', 'v112', 'v140', 'v22p', 'v20p', 'v305']","['v114', 'v18p', 'v234', 'v286', 'v47p', 'v30p', 'v118', 'v284', 'v181', 'v43p', 'v133', 'v298', 'v303', 'v117', 'v177', 'v196', 'v179', 'v190', 'v263', 'v147', 'v109', 'v56p', 'v3p', 'v49p']","['v107', 'v246', 'v60p', 'v143', 'v213', 'v209', 'v14p', 'v219', 'v310', 'v59p', 'v44p', 'v254', 'v51p', 'v120', 'v183', 'v115', 'v24p', 'v38p', 'v279', 'v8p', 'v48p', 'v129', 'v37p', 'v45p', 'v215']",0.75,0.75,0.75,0.75,0.75,0.7916666666666667,0.64,0.6666666666666666,0.6923076923076923,0.6428571428571429,0.5833333333333334,0.7884615384615384,7,5,4,9
3,44,svm_rbf,0.7085714285714285,"{'clf__C': 5, 'clf__gamma': 0.001, 'clf__kernel': 'rbf', 'selector__k': 120}","['v299', 'v302', 'v183', 'v181', 'v42p', 'v53p', 'v246', 'v129', 'v109', 'v54p', 'v114', 'v149', 'v198', 'v18p', 'v27p', 'v37p', 'v34p', 'v140', 'v32p', 'v308', 'v147', 'v133', 'v39p', 'v1p', 'v117', 'v107', 'v3p', 'v33p', 'v254', 'v127', 'v10p', 'v24p', 'v196', 'v213', 'v288', 'v204', 'v55p', 'v250', 'v43p', 'v143', 'v25p', 'v116', 'v51p', 'v231', 'v59p', 'v52p', 'v21p', 'v173', 'v20p', 'v50p', 'v190', 'v238', 'v108', 'v35p', 'v309', 'v57p', 'v28p', 'v47p', 'v303', 'v14p', 'v6p', 'v112', 'v41p', 'v177', 'v310', 'v219', 'v118', 'v22p', 'v44p', 'v298', 'v38p', 'v46p']","['v12p', 'v284', 'v56p', 'v304', 'v209', 'v123', 'v8p', 'v60p', 'v305', 'v236', 'v48p', 'v111', 'v307', 'v265', 'v31p', 'v300', 'v29p', 'v151', 'v115', 'v270', 'v274', 'v263', 'v234', 'v113']","['v121', 'v200', 'v15p', 'v206', 'v30p', 'v279', 'v49p', 'v306', 'v40p', 'v45p', 'v120', 'v244', 'v215', 'v110', 'v227', 'v134', 'v19p', 'v138', 'v286', 'v58p', 'v36p', 'v131', 'v179', 'v297', 'v125']",0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8263888888888888,0.64,0.6896551724137931,0.7692307692307693,0.625,0.5,0.6987179487179487,6,6,3,10
4,45,random_forest,0.7076190476190476,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 300, 'selector__k': 80}","['v59p', 'v43p', 'v227', 'v111', 'v116', 'v117', 'v34p', 'v297', 'v53p', 'v219', 'v52p', 'v299', 'v206', 'v125', 'v36p', 'v263', 'v147', 'v1p', 'v270', 'v309', 'v133', 'v8p', 'v19p', 'v31p', 'v118', 'v18p', 'v151', 'v131', 'v213', 'v279', 'v39p', 'v121', 'v57p', 'v236', 'v300', 'v196', 'v179', 'v41p', 'v47p', 'v305', 'v46p', 'v127', 'v21p', 'v48p', 'v110', 'v37p', 'v51p', 'v209', 'v56p', 'v49p', 'v307', 'v29p', 'v14p', 'v10p', 'v123', 'v25p', 'v234', 'v288', 'v113', 'v198', 'v304', 'v204', 'v20p', 'v28p', 'v181', 'v177', 'v254', 'v22p', 'v308', 'v231', 'v129', 'v60p']","['v12p', 'v190', 'v149', 'v303', 'v138', 'v284', 'v274', 'v114', 'v298', 'v215', 'v107', 'v265', 'v35p', 'v244', 'v54p', 'v200', 'v238', 'v108', 'v32p', 'v302', 'v246', 'v120', 'v45p', 'v143']","['v310', 'v40p', 'v140', 'v3p', 'v44p', 'v50p', 'v55p', 'v38p', 'v27p', 'v42p', 'v109', 'v15p', 'v112', 'v24p', 'v183', 'v115', 'v33p', 'v286', 'v134', 'v6p', 'v306', 'v250', 'v173', 'v30p', 'v58p']",0.6666666666666666,0.6923076923076923,0.75,0.6428571428571429,0.5833333333333334,0.75,0.64,0.6666666666666666,0.6923076923076923,0.6428571428571429,0.5833333333333334,0.5641025641025641,7,5,4,9
5,46,svm_rbf,0.6247619047619047,"{'clf__C': 0.5, 'clf__gamma': 0.001, 'clf__kernel': 'rbf', 'selector__k': 120}","['v219', 'v134', 'v40p', 'v302', 'v299', 'v28p', 'v109', 'v310', 'v127', 'v3p', 'v244', 'v55p', 'v196', 'v14p', 'v31p', 'v33p', 'v183', 'v204', 'v147', 'v265', 'v107', 'v54p', 'v19p', 'v108', 'v44p', 'v198', 'v254', 'v118', 'v120', 'v125', 'v10p', 'v270', 'v304', 'v27p', 'v39p', 'v24p', 'v246', 'v20p', 'v38p', 'v300', 'v133', 'v297', 'v8p', 'v117', 'v227', 'v274', 'v138', 'v308', 'v129', 'v238', 'v181', 'v59p', 'v140', 'v112', 'v6p', 'v34p', 'v52p', 'v36p', 'v236', 'v115', 'v190', 'v206', 'v306', 'v215', 'v46p', 'v49p', 'v56p', 'v131', 'v307', 'v43p', 'v116', 'v21p']","['v113', 'v149', 'v286', 'v110', 'v111', 'v179', 'v209', 'v177', 'v284', 'v305', 'v12p', 'v58p', 'v279', 'v25p', 'v143', 'v309', 'v263', 'v250', 'v114', 'v121', 'v303', 'v45p', 'v29p', 'v35p']","['v48p', 'v60p', 'v57p', 'v298', 'v151', 'v18p', 'v1p', 'v41p', 'v15p', 'v51p', 'v22p', 'v42p', 'v123', 'v47p', 'v173', 'v231', 'v37p', 'v234', 'v30p', 'v200', 'v53p', 'v288', 'v50p', 'v213', 'v32p']",0.6666666666666666,0.7142857142857143,0.8333333333333334,0.625,0.5,0.6805555555555556,0.72,0.7741935483870968,0.9230769230769231,0.6666666666666666,0.5,0.7756410256410257,6,6,1,12
6,47,xgboost,0.7504761904761905,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.03, 'clf__max_depth': 3, 'clf__n_estimators': 300, 'clf__subsample': 0.8, 'selector__k': 120}","['v60p', 'v304', 'v115', 'v51p', 'v274', 'v213', 'v298', 'v263', 'v250', 'v306', 'v179', 'v305', 'v121', 'v123', 'v279', 'v107', 'v29p', 'v286', 'v108', 'v299', 'v147', 'v32p', 'v57p', 'v110', 'v38p', 'v20p', 'v10p', 'v12p', 'v300', 'v43p', 'v309', 'v120', 'v28p', 'v215', 'v116', 'v303', 'v54p', 'v36p', 'v50p', 'v37p', 'v236', 'v151', 'v112', 'v190', 'v35p', 'v58p', 'v118', 'v56p', 'v24p', 'v244', 'v31p', 'v14p', 'v19p', 'v111', 'v284', 'v219', 'v308', 'v181', 'v227', 'v59p', 'v34p', 'v3p', 'v15p', 'v41p', 'v196', 'v297', 'v173', 'v109', 'v140', 'v6p', 'v8p', 'v49p']","['v231', 'v288', 'v53p', 'v310', 'v133', 'v33p', 'v131', 'v47p', 'v134', 'v307', 'v270', 'v129', 'v30p', 'v246', 'v55p', 'v114', 'v46p', 'v200', 'v177', 'v209', 'v44p', 'v1p', 'v254', 'v21p']","['v125', 'v48p', 'v45p', 'v27p', 'v127', 'v42p', 'v138', 'v18p', 'v52p', 'v149', 'v234', 'v265', 'v206', 'v25p', 'v204', 'v22p', 'v117', 'v238', 'v39p', 'v40p', 'v143', 'v302', 'v113', 'v198', 'v183']",0.7083333333333334,0.7407407407407407,0.8333333333333334,0.6666666666666666,0.5833333333333334,0.7916666666666669,0.64,0.64,0.6153846153846154,0.6666666666666666,0.6666666666666666,0.75,8,4,5,8
7,48,svm_rbf,0.6819047619047618,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'selector__k': 120}","['v246', 'v12p', 'v116', 'v117', 'v213', 'v279', 'v234', 'v286', 'v44p', 'v129', 'v196', 'v30p', 'v219', 'v37p', 'v1p', 'v28p', 'v20p', 'v125', 'v10p', 'v306', 'v112', 'v254', 'v45p', 'v114', 'v21p', 'v270', 'v53p', 'v49p', 'v284', 'v147', 'v299', 'v127', 'v60p', 'v151', 'v173', 'v305', 'v57p', 'v118', 'v198', 'v181', 'v134', 'v231', 'v308', 'v36p', 'v3p', 'v42p', 'v140', 'v43p', 'v298', 'v35p', 'v204', 'v25p', 'v39p', 'v183', 'v8p', 'v52p', 'v34p', 'v304', 'v297', 'v14p', 'v110', 'v55p', 'v131', 'v310', 'v54p', 'v120', 'v265', 'v27p', 'v108', 'v263', 'v111', 'v200']","['v40p', 'v244', 'v302', 'v38p', 'v238', 'v18p', 'v58p', 'v46p', 'v31p', 'v121', 'v300', 'v109', 'v206', 'v307', 'v288', 'v209', 'v41p', 'v19p', 'v274', 'v50p', 'v47p', 'v133', 'v149', 'v24p']","['v236', 'v115', 'v48p', 'v303', 'v22p', 'v32p', 'v6p', 'v33p', 'v177', 'v51p', 'v215', 'v190', 'v250', 'v138', 'v143', 'v107', 'v123', 'v113', 'v15p', 'v29p', 'v309', 'v179', 'v56p', 'v227', 'v59p']",0.625,0.6086956521739131,0.5833333333333334,0.6363636363636364,0.6666666666666666,0.6875,0.68,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6666666666666666,0.8205128205128206,8,4,4,9
8,49,xgboost,0.5961904761904762,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.1, 'clf__max_depth': 4, 'clf__n_estimators': 200, 'clf__subsample': 0.8, 'selector__k': 40}","['v309', 'v254', 'v149', 'v213', 'v8p', 'v37p', 'v190', 'v43p', 'v227', 'v53p', 'v6p', 'v131', 'v151', 'v38p', 'v35p', 'v115', 'v140', 'v114', 'v59p', 'v55p', 'v284', 'v46p', 'v36p', 'v24p', 'v56p', 'v279', 'v58p', 'v44p', 'v15p', 'v200', 'v40p', 'v129', 'v286', 'v111', 'v31p', 'v50p', 'v306', 'v121', 'v21p', 'v14p', 'v49p', 'v109', 'v134', 'v30p', 'v204', 'v302', 'v263', 'v28p', 'v110', 'v10p', 'v22p', 'v18p', 'v42p', 'v307', 'v310', 'v179', 'v308', 'v107', 'v48p', 'v118', 'v3p', 'v52p', 'v305', 'v181', 'v19p', 'v244', 'v270', 'v219', 'v299', 'v34p', 'v51p', 'v39p']","['v215', 'v1p', 'v25p', 'v32p', 'v113', 'v27p', 'v108', 'v112', 'v45p', 'v29p', 'v238', 'v41p', 'v60p', 'v300', 'v133', 'v288', 'v54p', 'v304', 'v20p', 'v138', 'v303', 'v198', 'v12p', 'v236']","['v120', 'v57p', 'v116', 'v127', 'v33p', 'v125', 'v177', 'v147', 'v246', 'v298', 'v173', 'v47p', 'v196', 'v117', 'v274', 'v209', 'v234', 'v183', 'v297', 'v231', 'v143', 'v265', 'v250', 'v206', 'v123']",0.6666666666666666,0.6363636363636364,0.5833333333333334,0.7,0.75,0.6666666666666667,0.84,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8333333333333334,0.7884615384615385,10,2,2,11
9,50,xgboost,0.6780952380952381,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'clf__subsample': 0.8, 'selector__k': 40}","['v308', 'v270', 'v133', 'v108', 'v151', 'v37p', 'v209', 'v59p', 'v298', 'v44p', 'v200', 'v8p', 'v286', 'v279', 'v19p', 'v196', 'v120', 'v107', 'v32p', 'v143', 'v36p', 'v20p', 'v55p', 'v234', 'v53p', 'v138', 'v33p', 'v15p', 'v250', 'v48p', 'v177', 'v181', 'v304', 'v60p', 'v111', 'v38p', 'v57p', 'v129', 'v35p', 'v213', 'v52p', 'v39p', 'v147', 'v117', 'v56p', 'v265', 'v47p', 'v246', 'v41p', 'v204', 'v297', 'v109', 'v22p', 'v309', 'v307', 'v127', 'v219', 'v173', 'v140', 'v30p', 'v116', 'v28p', 'v190', 'v31p', 'v21p', 'v198', 'v51p', 'v45p', 'v121', 'v300', 'v183', 'v244']","['v306', 'v42p', 'v18p', 'v114', 'v112', 'v54p', 'v43p', 'v58p', 'v40p', 'v49p', 'v299', 'v254', 'v27p', 'v10p', 'v149', 'v24p', 'v274', 'v12p', 'v131', 'v215', 'v238', 'v34p', 'v46p', 'v263']","['v3p', 'v284', 'v227', 'v288', 'v134', 'v6p', 'v50p', 'v113', 'v25p', 'v179', 'v231', 'v118', 'v29p', 'v110', 'v123', 'v236', 'v303', 'v115', 'v305', 'v310', 'v206', 'v125', 'v302', 'v14p', 'v1p']",0.5416666666666666,0.56,0.5833333333333334,0.5384615384615384,0.5,0.576388888888889,0.84,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8333333333333334,0.8333333333333334,10,2,2,11
10,51,svm_rbf,0.6123809523809524,"{'clf__C': 10, 'clf__gamma': 0.001, 'clf__kernel': 'rbf', 'selector__k': 40}","['v302', 'v151', 'v125', 'v181', 'v173', 'v15p', 'v123', 'v21p', 'v307', 'v1p', 'v43p', 'v110', 'v286', 'v238', 'v19p', 'v131', 'v147', 'v41p', 'v34p', 'v51p', 'v303', 'v25p', 'v263', 'v55p', 'v200', 'v45p', 'v50p', 'v113', 'v234', 'v306', 'v112', 'v49p', 'v12p', 'v244', 'v38p', 'v40p', 'v42p', 'v6p', 'v46p', 'v32p', 'v59p', 'v138', 'v179', 'v116', 'v24p', 'v111', 'v107', 'v58p', 'v56p', 'v109', 'v274', 'v52p', 'v120', 'v118', 'v288', 'v33p', 'v198', 'v308', 'v299', 'v28p', 'v250', 'v177', 'v8p', 'v246', 'v227', 'v190', 'v30p', 'v133', 'v22p', 'v236', 'v196', 'v115']","['v298', 'v279', 'v297', 'v53p', 'v215', 'v36p', 'v127', 'v35p', 'v60p', 'v10p', 'v37p', 'v27p', 'v57p', 'v309', 'v209', 'v140', 'v284', 'v231', 'v143', 'v20p', 'v54p', 'v114', 'v121', 'v206']","['v265', 'v219', 'v134', 'v29p', 'v31p', 'v213', 'v204', 'v48p', 'v47p', 'v304', 'v18p', 'v254', 'v117', 'v300', 'v183', 'v149', 'v129', 'v3p', 'v108', 'v270', 'v14p', 'v305', 'v44p', 'v310', 'v39p']",0.6666666666666666,0.6923076923076923,0.75,0.6428571428571429,0.5833333333333334,0.7777777777777778,0.68,0.6666666666666666,0.6153846153846154,0.7272727272727273,0.75,0.7051282051282052,9,3,5,8
