feature_name,feature_group
Fp1_mean_mean,time_domain
Fp1_mean_std,time_domain
Fp1_std_mean,time_domain
Fp1_std_std,time_domain
Fp1_rms_mean,time_domain
Fp1_rms_std,time_domain
Fp1_ptp_mean,time_domain
Fp1_ptp_std,time_domain
Fp1_skew_mean,time_domain
Fp1_skew_std,time_domain
Fp1_kurtosis_mean,time_domain
Fp1_kurtosis_std,time_domain
Fp1_line_length_mean,time_domain
Fp1_line_length_std,time_domain
Fp1_zero_crossing_rate_mean,time_domain
Fp1_zero_crossing_rate_std,time_domain
Fp1_hjorth_activity_mean,hjorth
Fp1_hjorth_activity_std,hjorth
Fp1_hjorth_mobility_mean,hjorth
Fp1_hjorth_mobility_std,hjorth
Fp1_hjorth_complexity_mean,hjorth
Fp1_hjorth_complexity_std,hjorth
Fp1_delta_abs_mean,frequency_band
Fp1_delta_abs_std,frequency_band
Fp1_delta_rel_mean,frequency_band
Fp1_delta_rel_std,frequency_band
Fp1_theta_abs_mean,frequency_band
Fp1_theta_abs_std,frequency_band
Fp1_theta_rel_mean,frequency_band
Fp1_theta_rel_std,frequency_band
Fp1_alpha_abs_mean,frequency_band
Fp1_alpha_abs_std,frequency_band
Fp1_alpha_rel_mean,frequency_band
Fp1_alpha_rel_std,frequency_band
Fp1_beta_abs_mean,frequency_band
Fp1_beta_abs_std,frequency_band
Fp1_beta_rel_mean,frequency_band
Fp1_beta_rel_std,frequency_band
Fp1_gamma_abs_mean,frequency_band
Fp1_gamma_abs_std,frequency_band
Fp1_gamma_rel_mean,frequency_band
Fp1_gamma_rel_std,frequency_band
Fp1_theta_beta_ratio_mean,band_ratio
Fp1_theta_beta_ratio_std,band_ratio
Fp1_theta_alpha_ratio_mean,band_ratio
Fp1_theta_alpha_ratio_std,band_ratio
Fp1_beta_alpha_ratio_mean,band_ratio
Fp1_beta_alpha_ratio_std,band_ratio
Fp1_psd_2hz_mean,psd_bin
Fp1_psd_2hz_std,psd_bin
Fp1_psd_4hz_mean,psd_bin
Fp1_psd_4hz_std,psd_bin
Fp1_psd_6hz_mean,psd_bin
Fp1_psd_6hz_std,psd_bin
Fp1_psd_8hz_mean,psd_bin
Fp1_psd_8hz_std,psd_bin
Fp1_psd_10hz_mean,psd_bin
Fp1_psd_10hz_std,psd_bin
Fp1_psd_12hz_mean,psd_bin
Fp1_psd_12hz_std,psd_bin
Fp1_psd_14hz_mean,psd_bin
Fp1_psd_14hz_std,psd_bin
Fp1_psd_16hz_mean,psd_bin
Fp1_psd_16hz_std,psd_bin
Fp1_psd_18hz_mean,psd_bin
Fp1_psd_18hz_std,psd_bin
Fp1_psd_20hz_mean,psd_bin
Fp1_psd_20hz_std,psd_bin
Fp1_psd_22hz_mean,psd_bin
Fp1_psd_22hz_std,psd_bin
Fp1_psd_24hz_mean,psd_bin
Fp1_psd_24hz_std,psd_bin
Fp1_psd_26hz_mean,psd_bin
Fp1_psd_26hz_std,psd_bin
Fp1_psd_28hz_mean,psd_bin
Fp1_psd_28hz_std,psd_bin
Fp1_psd_30hz_mean,psd_bin
Fp1_psd_30hz_std,psd_bin
Fp2_mean_mean,time_domain
Fp2_mean_std,time_domain
Fp2_std_mean,time_domain
Fp2_std_std,time_domain
Fp2_rms_mean,time_domain
Fp2_rms_std,time_domain
Fp2_ptp_mean,time_domain
Fp2_ptp_std,time_domain
Fp2_skew_mean,time_domain
Fp2_skew_std,time_domain
Fp2_kurtosis_mean,time_domain
Fp2_kurtosis_std,time_domain
Fp2_line_length_mean,time_domain
Fp2_line_length_std,time_domain
Fp2_zero_crossing_rate_mean,time_domain
Fp2_zero_crossing_rate_std,time_domain
Fp2_hjorth_activity_mean,hjorth
Fp2_hjorth_activity_std,hjorth
Fp2_hjorth_mobility_mean,hjorth
Fp2_hjorth_mobility_std,hjorth
Fp2_hjorth_complexity_mean,hjorth
Fp2_hjorth_complexity_std,hjorth
Fp2_delta_abs_mean,frequency_band
Fp2_delta_abs_std,frequency_band
Fp2_delta_rel_mean,frequency_band
Fp2_delta_rel_std,frequency_band
Fp2_theta_abs_mean,frequency_band
Fp2_theta_abs_std,frequency_band
Fp2_theta_rel_mean,frequency_band
Fp2_theta_rel_std,frequency_band
Fp2_alpha_abs_mean,frequency_band
Fp2_alpha_abs_std,frequency_band
Fp2_alpha_rel_mean,frequency_band
Fp2_alpha_rel_std,frequency_band
Fp2_beta_abs_mean,frequency_band
Fp2_beta_abs_std,frequency_band
Fp2_beta_rel_mean,frequency_band
Fp2_beta_rel_std,frequency_band
Fp2_gamma_abs_mean,frequency_band
Fp2_gamma_abs_std,frequency_band
Fp2_gamma_rel_mean,frequency_band
Fp2_gamma_rel_std,frequency_band
Fp2_theta_beta_ratio_mean,band_ratio
Fp2_theta_beta_ratio_std,band_ratio
Fp2_theta_alpha_ratio_mean,band_ratio
Fp2_theta_alpha_ratio_std,band_ratio
Fp2_beta_alpha_ratio_mean,band_ratio
Fp2_beta_alpha_ratio_std,band_ratio
Fp2_psd_2hz_mean,psd_bin
Fp2_psd_2hz_std,psd_bin
Fp2_psd_4hz_mean,psd_bin
Fp2_psd_4hz_std,psd_bin
Fp2_psd_6hz_mean,psd_bin
Fp2_psd_6hz_std,psd_bin
Fp2_psd_8hz_mean,psd_bin
Fp2_psd_8hz_std,psd_bin
Fp2_psd_10hz_mean,psd_bin
Fp2_psd_10hz_std,psd_bin
Fp2_psd_12hz_mean,psd_bin
Fp2_psd_12hz_std,psd_bin
Fp2_psd_14hz_mean,psd_bin
Fp2_psd_14hz_std,psd_bin
Fp2_psd_16hz_mean,psd_bin
Fp2_psd_16hz_std,psd_bin
Fp2_psd_18hz_mean,psd_bin
Fp2_psd_18hz_std,psd_bin
Fp2_psd_20hz_mean,psd_bin
Fp2_psd_20hz_std,psd_bin
Fp2_psd_22hz_mean,psd_bin
Fp2_psd_22hz_std,psd_bin
Fp2_psd_24hz_mean,psd_bin
Fp2_psd_24hz_std,psd_bin
Fp2_psd_26hz_mean,psd_bin
Fp2_psd_26hz_std,psd_bin
Fp2_psd_28hz_mean,psd_bin
Fp2_psd_28hz_std,psd_bin
Fp2_psd_30hz_mean,psd_bin
Fp2_psd_30hz_std,psd_bin
